1 	 1635 	 gene1635 	 0.430
2 	 377 	 gene377 	 0.429
3 	 493 	 gene493 	 0.423
4 	 249 	 gene249 	 0.395
5 	 1843 	 gene1843 	 0.386
6 	 765 	 gene765 	 0.367
7 	 1042 	 gene1042 	 0.356
8 	 1423 	 gene1423 	 0.344
9 	 391 	 gene391 	 0.326
10 	 739 	 gene739 	 0.315
11 	 1772 	 gene1772 	 0.315
12 	 625 	 gene625 	 0.305
13 	 1892 	 gene1892 	 0.304
14 	 812 	 gene812 	 0.293
15 	 979 	 gene979 	 0.292
16 	 245 	 gene245 	 0.291
17 	 267 	 gene267 	 0.291
18 	 1582 	 gene1582 	 0.291
19 	 1494 	 gene1494 	 0.284
20 	 1771 	 gene1771 	 0.284
21 	 897 	 gene897 	 0.280
22 	 964 	 gene964 	 0.276
23 	 513 	 gene513 	 0.275
24 	 1387 	 gene1387 	 0.275
25 	 1256 	 gene1256 	 0.274
26 	 1196 	 gene1196 	 0.273
27 	 1247 	 gene1247 	 0.273
28 	 1897 	 gene1897 	 0.273
29 	 1004 	 gene1004 	 0.269
30 	 1884 	 gene1884 	 0.269
31 	 138 	 gene138 	 0.268
32 	 14 	 gene14 	 0.266
33 	 780 	 gene780 	 0.264
34 	 1014 	 gene1014 	 0.262
35 	 453 	 gene453 	 0.258
36 	 1406 	 gene1406 	 0.257
37 	 1411 	 gene1411 	 0.255
38 	 639 	 gene639 	 0.252
39 	 561 	 gene561 	 0.251
40 	 286 	 gene286 	 0.248
41 	 824 	 gene824 	 0.246
42 	 1967 	 gene1967 	 0.245
43 	 1334 	 gene1334 	 0.245
44 	 137 	 gene137 	 0.240
45 	 1473 	 gene1473 	 0.239
46 	 1614 	 gene1614 	 0.237
47 	 187 	 gene187 	 0.235
48 	 1546 	 gene1546 	 0.234
49 	 1674 	 gene1674 	 0.233
50 	 992 	 gene992 	 0.232
1 	 1635 	 gene1635 	 0.430
2 	 1014 	 gene1014 	 0.196
3 	 377 	 gene377 	 0.188
4 	 453 	 gene453 	 0.140
5 	 979 	 gene979 	 0.128
6 	 1843 	 gene1843 	 0.136
7 	 493 	 gene493 	 0.109
8 	 1256 	 gene1256 	 0.082
9 	 1042 	 gene1042 	 0.088
10 	 1370 	 gene1370 	 0.089
11 	 1196 	 gene1196 	 0.100
12 	 639 	 gene639 	 0.103
13 	 391 	 gene391 	 0.103
14 	 1772 	 gene1772 	 0.101
15 	 1004 	 gene1004 	 0.091
16 	 739 	 gene739 	 0.089
17 	 625 	 gene625 	 0.096
18 	 1473 	 gene1473 	 0.084
19 	 765 	 gene765 	 0.093
20 	 1546 	 gene1546 	 0.087
21 	 1668 	 gene1668 	 0.085
22 	 1892 	 gene1892 	 0.078
23 	 972 	 gene972 	 0.073
24 	 1884 	 gene1884 	 0.078
25 	 419 	 gene419 	 0.074
26 	 1582 	 gene1582 	 0.077
27 	 698 	 gene698 	 0.079
28 	 249 	 gene249 	 0.075
29 	 1799 	 gene1799 	 0.072
30 	 286 	 gene286 	 0.065
31 	 1353 	 gene1353 	 0.064
32 	 1912 	 gene1912 	 0.064
33 	 897 	 gene897 	 0.067
34 	 1549 	 gene1549 	 0.066
35 	 581 	 gene581 	 0.069
36 	 14 	 gene14 	 0.063
37 	 1325 	 gene1325 	 0.064
38 	 137 	 gene137 	 0.066
39 	 1154 	 gene1154 	 0.065
40 	 1970 	 gene1970 	 0.063
41 	 1411 	 gene1411 	 0.064
42 	 1924 	 gene1924 	 0.061
43 	 1334 	 gene1334 	 0.064
44 	 1959 	 gene1959 	 0.062
45 	 1387 	 gene1387 	 0.061
46 	 627 	 gene627 	 0.058
47 	 1423 	 gene1423 	 0.058
48 	 1451 	 gene1451 	 0.056
49 	 1406 	 gene1406 	 0.055
50 	 1870 	 gene1870 	 0.054
