0	377	1.05402435003504089e-01		2.29484468073237718e-01
1	765	7.50689131249530489e-02		1.98379897688129359e-01
2	14	6.82463813028673649e-02		2.40291306936367965e-01
3	1597	6.68687602594097708e-02		1.64230731433202520e-01
4	493	5.44994256569102942e-02		2.19877885838275111e-01
5	1671	4.82057721556000129e-02		1.74613173945910582e-01
6	1400	4.68733416455001176e-02		1.68566706506223379e-01
7	625	4.36849398812062389e-02		1.86172427998207046e-01
8	1892	4.01466188423765385e-02		1.70187259238830962e-01
9	1047	3.76105861685785553e-02		1.75204421510030295e-01
10	1917	3.56510170516854477e-02		1.62830233846845307e-01
11	1293	2.56050135296502640e-02		1.75204421510030295e-01
